s,C
Time,"T air 1"
 3.5409947E+000, 1.9731931E+002
 3.5500215E+000, 1.8991581E+002
 3.5590484E+000, 1.8500251E+002
 3.5680753E+000, 1.8244667E+002
 3.5771021E+000, 1.8243478E+002
 3.5861290E+000, 1.8595364E+002
 3.5951559E+000, 1.9338815E+002
 3.6041827E+000, 2.0411345E+002
 3.6132096E+000, 2.1770812E+002
 3.6222365E+000, 2.3321890E+002
 3.6312633E+000, 2.4969693E+002
 3.6402902E+000, 2.6689532E+002
 3.6493171E+000, 2.8377593E+002
 3.6583439E+000, 2.9707673E+002
 3.6673708E+000, 3.0471182E+002
 3.6763977E+000, 3.0695268E+002
 3.6854245E+000, 3.0406362E+002
 3.6944514E+000, 2.9888008E+002
 3.7034783E+000, 2.9219608E+002
 3.7125051E+000, 2.8460031E+002
 3.7215320E+000, 2.7775776E+002
 3.7305589E+000, 2.8025179E+002
 3.7395857E+000, 2.8695430E+002
 3.7486126E+000, 2.9531235E+002
 3.7576395E+000, 3.0068181E+002
 3.7666663E+000, 3.0142326E+002
 3.7756932E+000, 2.9181219E+002
 3.7847201E+000, 2.7743034E+002
 3.7937469E+000, 2.6386311E+002
 3.8027738E+000, 2.5023769E+002
 3.8118007E+000, 2.3783870E+002
 3.8208275E+000, 2.2781471E+002
 3.8298544E+000, 2.1807636E+002
 3.8388813E+000, 2.0945574E+002
 3.8479081E+000, 2.0407698E+002
 3.8569350E+000, 2.0229502E+002
 3.8659619E+000, 2.0266700E+002
 3.8749887E+000, 2.0534700E+002
 3.8840156E+000, 2.0851268E+002
 3.8930425E+000, 2.1098917E+002
 3.9020693E+000, 2.1323244E+002
 3.9110962E+000, 2.1473954E+002
 3.9201231E+000, 2.1546543E+002
 3.9291499E+000, 2.1354936E+002
 3.9381768E+000, 2.1166308E+002
 3.9472037E+000, 2.1073442E+002
 3.9562305E+000, 2.1062104E+002
 3.9652574E+000, 2.1131136E+002
 3.9742843E+000, 2.1265345E+002
 3.9833111E+000, 2.1270888E+002
 3.9923380E+000, 2.1186990E+002
 4.0013649E+000, 2.1126124E+002
 4.0103917E+000, 2.1103090E+002
 4.0194186E+000, 2.1080757E+002
